package|requirement
Couchapp|restkit
Couchapp|watchdog
mailer|
zope.principalregistry|setuptools
zope.principalregistry|zope.authentication
zope.principalregistry|zope.component
zope.principalregistry|zope.interface
zope.principalregistry|zope.password
zope.principalregistry|zope.security
zope.principalregistry|Sphinx;
zope.principalregistry|repoze.sphinx.autointerface;
zope.principalregistry|zope.testing;
zope.principalregistry|zope.testrunner;
collective.validator.base|
py-soocial|
django-generic-flatblocks|django
django-generic-flatblocks|pillow
falkolab.extjslayer|
frla|
cjktools|
kupu.mashups|
MetaPython|
pyamg|numpy
pyamg|scipy
qc.statusmessage|
logilab-vm|
pyjld.os|
Juno|
collective.simpleeditbutton|
cogbin|
z3c.boiler|
collective.zipfiletransport|
webenv|
fiveruns.dash|
quintagroup.pingtool|
SetupDocs|
zopyx.txng3.ext|
pybloom|
zope.app.appsetup|
mixpanel|six
mixpanel|requests
mixpanel|urllib3
logilab-astng|
blist|
zope.principalannotation|persistent
zope.principalannotation|setuptools
zope.principalannotation|zope.annotation
zope.principalannotation|zope.component
zope.principalannotation|zope.interface
zope.principalannotation|zope.location
zope.principalannotation|zope.security
zope.principalannotation|zope.site
zope.principalannotation|Sphinx
zope.principalannotation|repoze.sphinx.autointerface
zope.principalannotation|sphinx-rtd-theme
zope.principalannotation|zope.configuration
zope.principalannotation|zope.testing
zope.principalannotation|zope.site[test]
zope.principalannotation|zope.testrunner
odict|setuptools
Unipath|
genericsetup.quickinstaller|
launchpadlib|httplib2
launchpadlib|keyring
launchpadlib|lazr.restfulclient
launchpadlib|lazr.uri
launchpadlib|six
launchpadlib|importlib-metadata
launchpadlib|Sphinx
launchpadlib|mock
launchpadlib|testresources
launchpadlib|wadllib
zope.authentication|setuptools
zope.authentication|zope.browser
zope.authentication|zope.component
zope.authentication|zope.i18nmessageid
zope.authentication|zope.interface
zope.authentication|zope.schema
zope.authentication|zope.security
zope.authentication|repoze.sphinx.autointerface
zope.authentication|Sphinx
zope.authentication|zope.testing
zope.authentication|zope.testrunner
collective.portlet.workflowsteps|
pydiigo|
Tka11y|
TailSpin|
iw.memberreplace|
harobed.paster_template.advanced_package|
plonetheme.ReOrg|
imdbpykit|
cymruwhois|python-memcached;
cymruwhois|sphinx;
cymruwhois|nose;
collective.validator.css|
twitsilver|
picoparse|
Products.SignupSheet|
django-ticker|
quintagroup.dummylocking|
repoze.what-pylons|
chishop|
z3c.feature.core|
PySQLPool|
PhyloSequel|
repoze.what.plugins.config|
lazr.uri|
logilab-common|setuptools
logilab-common|mypy-extensions
logilab-common|typing-extensions
hurry.filesize|
pyficache|pygments
pyficache|xdis
python3-libdrizzle|
YAMLTrak|
django-threadedcomments|django-contrib-comments
collective.autopermission|
collective.portlet.truereview|
iconv_codecs|
xxdiff-scripts|
collective.saconnect|
chiffre|
cutplace|XlsxWriter
cutplace|xlrd
plone.controller|
zope.fssync|
falkolab.resource|
zodict|
snakefight|
pyfse|
collective.contacts|
tastytweets|
Shabti|
collective.validator.xhtmlStrict|
lancelot|
pypp|
z3c.feature.zope|
Catwalk|
pydbgr|
srcyr2lat|
chouwa|
redturtle.smartlink|
streamxmlwriter|
tc|
django-test-coverage|
bda.calendar.base|
Products.IntelliDateTime|
MagickPy|
jgrep|
Products.FlashVideo|
ratfun|
clnum|
Products.MasterSelectWidget|
redturtle.imagedevent|
Products.Organization|
Products.CMFContentPanels|
plonetheme.sait2009|
oldowan.polymorphism|
uthreads|
collective.viewlet.links|
collective.sharingroles|
collective.discussionplus|
archetypes.uploadreferencewidget|
rpncalc|
curator|
playlist|
van.potomo|
gpalign|
zope.app.fssync|
collective.buildout.cluster|
oldowan.mtconvert|
yadayada|
z3c.builder.core|
squash|
megrok.pagelet|
repoze.who.plugins.openid|
AmFast|
collective.wfcomment|
redturtle.munin|
timebook|
gozerplugs|
circuits|stompest
circuits|pysocks
mr.freeze|
rusty|
redturtle.catalogmount|
pylibusb|
optcomplete|
zopyx.txng3.core|
django-eve-proxy|
jarn.setuptoolsfixer|
snakefood|
markuputils|
quintagroup.doublecolumndocument|
fibra|
noc|
trash-cli|
django-viewutil|
collective.portlet.relateditems|
servable|
hatenadiary|
pki|
Products.SimpleGroupsManagement|
ltprotocol|
lazr.enum|
collective.contentlicensing|
d9t.json|
plonetheme.corporatemale|
scikits.samplerate|
example.archetype|
lazr.batchnavigator|
getpaid.ogone|
NEB|
antiorm|
pydap.responses.netcdf|
XMLegant|
django-checksum|
PowerConsole|
yubikey|
oldowan.mtdna|
iii|
cornerstone.cssvar|
hatenagraph|
Products.Carousel|
mr.developer|setuptools
mr.developer|zc.buildout
mr.developer|six
mr.developer|argparse
mr.developer|mock
collective.contentrules.parentchild|
lazr.lifecycle|
html2docbook|
collective.advancedsearchtamer|
falkolab.recipe.csstools|
collective.transform.docbook|
waferslim|
bitstring|
rednose|
collective.contentrules.mail|
timetric|
getpaid.formgen|
sc.base.memberdataexport|
bda.intellidatetime|
fiveruns.dash.django|
objgraph|graphviz
Meritocracy|
wadllib|
zope.password|setuptools
zope.password|zope.component
zope.password|zope.configuration
zope.password|zope.interface
zope.password|bcrypt;
zope.password|Sphinx;
zope.password|repoze.sphinx.autointerface;
zope.password|zope.schema;
zope.password|zope.security;
zope.password|zope.testing;
zope.password|zope.testrunner;
django-ittybitty|
collective.validator.xhtmlTransitional|
collective.membercriterion|
plonetheme.portaltwodotoh|
oldowan.mitotype|
import_relative|
consoleLog|
python-libdrizzle|
trafikanten|
markymark|
tipimaid|
psycopg2da|
Products.PFGDataGrid|
PyoC|
collective.groupdashboard|
zope.app.localpermission|setuptools
zope.app.localpermission|persistent
zope.app.localpermission|zope.component
zope.app.localpermission|zope.i18nmessageid
zope.app.localpermission|zope.interface
zope.app.localpermission|zope.location
zope.app.localpermission|zope.security
zope.app.localpermission|zope.annotation;
zope.app.localpermission|zope.configuration;
zope.app.localpermission|zope.testing;
zope.app.localpermission|zope.testrunner;
z3c.recipe.template|
Products.Person|
quintagroup.ploneformgen.readonlystringfield|
ecreall.trashcan|
jaraco.input|pyglet
jaraco.input|sphinx
jaraco.input|jaraco.packaging
jaraco.input|rst.linker
jaraco.input|pytest
jaraco.input|pytest-checkdocs
jaraco.input|pytest-flake8
jaraco.input|pytest-cov
jaraco.input|pytest-enabler
jaraco.input|pytest-black
jaraco.input|pytest-mypy
gum|
collective.portlet.contribute|
shellout|
repoze.what-quickstart|
Products.PloneKeywordManager|plone.api
Products.PloneKeywordManager|setuptools
Products.PloneKeywordManager|python-Levenshtein
Products.PloneKeywordManager|pdbpp
Products.PloneKeywordManager|plone.app.testing
Products.PloneKeywordManager|plone.app.contenttypes[test]
simple-db-migrate|
Products.sampleremember|
debinstall|
